Tweet,Time,Location,RT
 sadiestewart71  WesternFreedom  OtagoGrad  sunlorrie  anthonyfurey  Sflecce Ok ask the hundreds of teenagers who 1  ,Thu Mar 26 18 03 31  0000 2020,Republic of Texas,8268
RT  TAMUCCCONHS  Ultimately  social distancing will protect our entire community  Dr  Bunny Forgione  Interim Dean in the College of Nursi,Thu Mar 26 18 03 09  0000 2020,,1
   Tohoku University makes history  tops 2020 Japan university Ranking  ,Thu Mar 26 18 03 05  0000 2020,"Edmonds, WA",539
 deepwatermike One might flip this around  the real contributions of university food service workers are not the me  ,Thu Mar 26 18 02 56  0000 2020,"Pittsburgh, PA",8268
RT  Allybeez  Nelson Mandela stated Education is the most powerful weapon which you can use to change the world  Knowledge is POWER  ,Thu Mar 26 18 02 50  0000 2020,Trantor,2
RT  ISUathletes  Congrats to  GwynneWright with  CycloneTrackXC and Dava Liva  divergirl8  with  CycloneSD on being accepted into graduate,Thu Mar 26 18 02 32  0000 2020,A2-Michigan #GoBlue!,1
Only essential services are available at this time Schools  colleges  University and all type of education is miss  ,Thu Mar 26 18 02 19  0000 2020,"Toronto, Canada",32
   Have a look  SS2020  Robotic Process Automation at the University of Applied Sciences in M  ,Thu Mar 26 18 02 07  0000 2020,JuCity,3
Interested in continuing your education online   Reach out to Luke Beach and our Rochester University admissions te  ,Thu Mar 26 18 02 04  0000 2020,"Toronto, Ontario",178
Natalia Martirosova   OEU Identity System       ,Thu Mar 26 18 01 46  0000 2020,,539
L ONU appelle  librer des dtenus pour viter des ravages en prison Ils ont besoin d exterminateurs pour s intro  ,Thu Mar 26 18 01 43  0000 2020,dongkiz fanclub headquarters ,1501
RT  eyeonthearctic  We want to support learning from home  and to encourage people to use this time to come together and strengthen our  ,Thu Mar 26 18 01 43  0000 2020,,1
 ,Thu Mar 26 18 01 24  0000 2020,"Zephyrhills, FL",8268
RT  wilberforce u  Thank you Mr  Mark Wilson and Chime Solutions for your gift to Wilberforce University  For Press Release Information htt,Thu Mar 26 18 01 20  0000 2020,"Berkeley, CA",0
USPOULTRY recently awarded a  7 000 student recruiting grant to the University of North Georgia  This grant was mad  ,Thu Mar 26 18 01 20  0000 2020,601 W Cordova St. Vancouver BC,1
 BorisJohnson Can we address university level students now   I study music in Brighton and If I wanted to study fro  ,Thu Mar 26 18 01 17  0000 2020,"Fairfax, VA",0
Looking for some  education  oligopro has got your back   Swipe left to check out more   ,Thu Mar 26 18 00 42  0000 2020,"Official page, Purdue EVPRP",1
I am in favour of online education but  not considering it equivalent to the education which has to be delivered in  ,Thu Mar 26 18 00 03  0000 2020,,8268
